#	VACF	MSD
    0.0648    1.2551
    0.0656    1.2574
    0.0645    1.2597
    0.0620    1.2620
    0.0584    1.2644
    0.0544    1.2667
    0.0502    1.2690
    0.0461    1.2713
    0.0422    1.2736
    0.0384    1.2759
    0.0349    1.2782
    0.0317    1.2805
    0.0291    1.2827
    0.0272    1.2849
    0.0262    1.2871
    0.0261    1.2892
    0.0270    1.2913
    0.0289    1.2934
    0.0318    1.2954
    0.0353    1.2975
    0.0391    1.2996
    0.0426    1.3017
    0.0452    1.3038
    0.0467    1.3060
    0.0469    1.3082
    0.0462    1.3105
    0.0448    1.3128
    0.0429    1.3152
    0.0405    1.3176
    0.0378    1.3200
    0.0350    1.3225
    0.0321    1.3250
    0.0297    1.3275
    0.0281    1.3300
    0.0278    1.3325
    0.0288    1.3350
    0.0313    1.3375
    0.0353    1.3400
    0.0405    1.3425
    0.0470    1.3450
    0.0547    1.3476
    0.0634    1.3501
    0.0728    1.3527
    0.0826    1.3553
    0.0922    1.3580
    0.1010    1.3606
    0.1086    1.3633
    0.1148    1.3660
    0.1194    1.3687
    0.1224    1.3713
    0.1239    1.3739
    0.1239    1.3765
    0.1225    1.3790
    0.1197    1.3814
    0.1157    1.3838
    0.1108    1.3861
    0.1056    1.3884
    0.1003    1.3906
    0.0950    1.3928
    0.0899    1.3950
    0.0847    1.3971
    0.0794    1.3991
    0.0740    1.4012
    0.0683    1.4033
    0.0625    1.4054
    0.0565    1.4075
    0.0505    1.4096
    0.0445    1.4118
    0.0386    1.4140
    0.0328    1.4162
    0.0269    1.4185
    0.0207    1.4207
    0.0141    1.4230
    0.0067    1.4254
   -0.0014    1.4277
   -0.0101    1.4300
   -0.0188    1.4323
   -0.0272    1.4346
   -0.0350    1.4369
   -0.0423    1.4391
   -0.0491    1.4412
   -0.0554    1.4433
   -0.0610    1.4453
   -0.0657    1.4473
   -0.0693    1.4491
   -0.0720    1.4509
   -0.0742    1.4527
   -0.0764    1.4544
   -0.0791    1.4560
   -0.0829    1.4576
   -0.0879    1.4591
   -0.0943    1.4606
   -0.1018    1.4621
   -0.1100    1.4635
   -0.1182    1.4649
   -0.1256    1.4663
   -0.1313    1.4677
   -0.1346    1.4692
   -0.1350    1.4706
   -0.1326    1.4720
   -0.1273    1.4734
   -0.1197    1.4748
   -0.1100    1.4762
   -0.0985    1.4777
   -0.0857    1.4792
   -0.0723    1.4808
   -0.0586    1.4824
   -0.0452    1.4840
   -0.0322    1.4858
   -0.0197    1.4875
   -0.0076    1.4894
    0.0039    1.4913
    0.0146    1.4932
    0.0240    1.4952
    0.0319    1.4972
    0.0381    1.4992
    0.0427    1.5013
    0.0460    1.5033
    0.0479    1.5054
    0.0485    1.5076
    0.0479    1.5097
    0.0463    1.5119
    0.0439    1.5141
    0.0406    1.5164
    0.0364    1.5186
    0.0313    1.5209
    0.0251    1.5232
    0.0177    1.5255
    0.0094    1.5278
    0.0004    1.5301
   -0.0089    1.5324
   -0.0180    1.5347
   -0.0263    1.5370
   -0.0333    1.5393
   -0.0386    1.5416
   -0.0421    1.5438
   -0.0439    1.5460
   -0.0443    1.5482
   -0.0440    1.5504
   -0.0432    1.5525
   -0.0423    1.5546
   -0.0414    1.5567
   -0.0406    1.5588
   -0.0399    1.5609
   -0.0393    1.5629
   -0.0388    1.5649
   -0.0381    1.5669
   -0.0373    1.5689
   -0.0364    1.5709
   -0.0352    1.5728
   -0.0337    1.5747
   -0.0318    1.5765
   -0.0290    1.5783
   -0.0251    1.5801
   -0.0203    1.5818
   -0.0150    1.5835
   -0.0098    1.5851
   -0.0054    1.5868
   -0.0020    1.5883
    0.0001    1.5898
    0.0008    1.5912
    0.0002    1.5926
   -0.0017    1.5939
   -0.0050    1.5951
   -0.0090    1.5962
   -0.0133    1.5973
   -0.0169    1.5983
   -0.0193    1.5993
   -0.0202    1.6003
   -0.0197    1.6013
   -0.0181    1.6022
   -0.0159    1.6033
   -0.0138    1.6043
   -0.0121    1.6055
   -0.0111    1.6066
   -0.0106    1.6079
   -0.0108    1.6092
   -0.0118    1.6106
   -0.0136    1.6120
   -0.0163    1.6135
   -0.0200    1.6150
   -0.0243    1.6166
   -0.0289    1.6182
   -0.0333    1.6199
   -0.0372    1.6216
   -0.0401    1.6234
   -0.0416    1.6252
   -0.0416    1.6270
   -0.0399    1.6289
   -0.0370    1.6307
   -0.0335    1.6326
   -0.0302    1.6345
   -0.0276    1.6364
   -0.0263    1.6382
   -0.0263    1.6401
   -0.0275    1.6419
   -0.0296    1.6437
   -0.0325    1.6455
   -0.0358    1.6473
   -0.0395    1.6491
   -0.0436    1.6509
   -0.0482    1.6527
   -0.0531    1.6546
   -0.0584    1.6564
   -0.0636    1.6583
   -0.0685    1.6602
   -0.0727    1.6622
   -0.0761    1.6642
   -0.0785    1.6663
   -0.0800    1.6683
   -0.0810    1.6704
   -0.0815    1.6725
   -0.0819    1.6746
   -0.0820    1.6767
   -0.0816    1.6787
