ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
1372
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
ITEM: ATOMS id vx vy vz 
456 0.915422 -0.312227 -2.4592 
457 -0.693528 0.995931 0.432928 
458 -0.464829 1.70144 -1.35871 
459 1.16225 0.51524 -0.925613 
460 -0.117453 1.48587 1.17359 
461 -0.0363757 -0.586574 0.974849 
462 0.424042 0.828109 1.05893 
463 0.580974 2.18632 -1.97623 
464 -0.328278 -0.208628 0.954452 
465 -0.967125 1.99724 0.69834 
466 -0.860989 -0.961991 -1.2641 
467 1.55221 -0.495627 -0.121451 
468 0.395915 -0.672137 0.510794 
469 0.200398 1.27686 -2.00033 
470 1.01721 -0.181897 1.01048 
471 0.100221 0.669151 -0.750654 
472 -1.8182 -0.112579 -0.411999 
473 -0.637587 0.192149 0.456498 
474 -2.09092 0.551664 -0.639369 
475 -0.181375 2.20085 -2.63456 
476 0.342668 -2.05181 -0.807805 
477 -0.139981 -0.853379 -1.26589 
478 -1.96124 0.72649 1.02726 
479 -0.637676 1.1497 0.652167 
480 0.462825 0.581143 0.403019 
481 0.601775 -0.447689 -0.128358 
482 1.75817 -1.00524 -1.241 
483 -1.01473 -1.83713 -0.166106 
484 0.340206 -0.544757 -0.951815 
485 2.68213 0.873251 0.356338 
486 -0.801236 -0.958935 -0.651188 
487 -0.420053 -0.816351 0.0332502 
488 -0.844958 0.733019 3.29001 
489 -2.83502 1.49208 0.0160506 
490 0.277441 2.11881 -0.136149 
491 0.489374 -0.23844 -1.59135 
492 0.499394 -0.332075 1.41054 
493 -0.534974 0.962084 0.00542044 
494 -0.686907 -1.04345 -1.49573 
495 -0.37979 2.46162 -1.6437 
496 2.35903 -0.190549 0.875493 
497 2.17342 -1.18859 0.571567 
498 -0.564875 -1.28531 0.222646 
499 0.33065 -1.75954 -0.356353 
500 0.164138 -0.295052 1.3679 
501 -2.38441 0.826177 1.05969 
502 -0.71268 0.922659 -0.42338 
503 -2.7165 -1.79011 -1.27444 
504 0.511025 -0.991667 0.822693 
505 -0.884058 0.629504 1.04814 
506 -0.716919 0.433616 -0.0940739 
507 1.1309 -3.3872 -0.987426 
508 -1.03968 1.41339 -1.99844 
509 2.0125 -1.1169 3.03155 
510 -0.11306 -0.527878 -1.37248 
511 0.866932 0.511587 0.198603 
512 -1.35728 -1.33452 0.308746 
513 -0.539779 1.47472 0.609435 
514 2.30206 -2.17064 -1.0751 
515 2.05142 -0.899049 -0.646884 
516 -1.23402 -1.90256 -0.633465 
517 0.15023 -0.972723 1.1693 
518 -0.857547 -2.11083 -0.18634 
519 0.101361 0.915506 -0.30612 
520 0.230457 0.445577 -0.842865 
521 0.944603 0.823346 0.490823 
522 -0.332889 -0.576509 1.07024 
523 -1.52021 -1.35556 -0.525702 
524 1.06236 0.734575 -0.722461 
525 -0.13566 -0.821394 1.74594 
526 0.232894 1.20543 0.381058 
527 -0.90997 0.455704 0.0293639 
528 0.297562 -1.90531 -1.21075 
529 0.723847 1.35536 -0.712732 
530 -0.424683 1.36429 0.605279 
531 -2.58229 1.99832 -0.162321 
532 -0.207866 0.484746 -0.202465 
533 -0.790227 0.205202 -1.77869 
534 -1.30083 1.20047 -0.153654 
535 -0.161985 0.829789 1.46694 
536 0.817765 -0.473477 -0.277107 
537 -0.840371 0.362153 2.11709 
538 0.688818 0.436444 0.86 
539 1.3771 -1.73739 1.36235 
540 -0.198159 -0.54256 1.4083 
541 0.285467 1.35158 1.5343 
542 -0.252877 0.634384 0.313014 
543 0.874256 -1.30096 -1.09773 
544 -0.0906738 0.620607 -1.23686 
545 0.165318 -1.07192 -2.02438 
546 -0.496798 1.37084 -3.38588 
547 0.58295 -0.274995 -0.955128 
548 -1.5354 0.723304 -0.979546 
549 -0.740029 -0.207827 0.340377 
550 -0.321172 0.835745 0.490063 
551 2.45663 -2.58228 0.681588 
552 0.334387 0.326797 -1.34256 
553 1.40378 1.72064 -0.479728 
554 0.397293 0.0705683 1.66028 
555 0.609786 -0.196564 0.358988 
556 0.178022 0.0753585 -1.15648 
557 -0.978056 -0.520666 -1.38204 
558 -0.451246 -0.905876 1.1349 
559 -0.620315 0.973575 1.21619 
560 0.729883 2.97232 2.02095 
561 1.45905 0.9031 -1.22679 
562 -0.710597 0.950015 0.389057 
563 0.10173 0.0743238 1.06385 
564 -1.0726 -1.09978 -0.425706 
565 1.49639 -0.226771 0.23759 
566 -0.359538 -0.585375 0.517085 
567 1.28507 -1.3665 -0.925893 
568 -0.326515 1.01088 0.0728181 
569 0.412386 0.379168 0.0419499 
570 -0.715853 -0.382507 -0.739257 
571 0.826351 1.50269 -0.300075 
572 -0.715339 0.287099 -0.455839 
573 0.201613 -0.488183 1.03753 
574 -0.692417 -0.827468 -1.02727 
575 1.6522 -2.00027 1.28169 
576 0.201613 -0.604291 -0.94753 
577 -0.574267 0.73236 -0.560942 
578 0.056332 -0.668793 -0.230972 
579 -1.17803 0.247645 -1.78203 
580 -0.495786 -0.523171 -1.55671 
581 -2.44935 1.34769 -0.527484 
582 -1.04098 -2.82119 0.149006 
583 -2.51634 -0.260575 0.00519613 
584 -2.12186 -0.0659136 0.570254 
585 0.129148 -0.0648036 0.264933 
586 1.56589 0.269902 -1.48956 
587 -1.26236 2.15794 -1.04104 
588 -0.613533 -0.525864 1.66482 
589 0.787647 -0.665923 1.19441 
590 -2.19144 0.37729 1.30044 
591 -1.28639 -0.247186 0.196204 
592 -0.635644 1.39738 0.669376 
593 0.5623 -1.17612 -0.46199 
594 -2.02875 0.176647 0.3617 
595 -0.413521 1.53062 -1.04584 
596 -0.256905 -0.571772 -0.205445 
597 0.769438 -1.26256 1.72261 
598 -0.83861 -0.694891 -1.78365 
599 0.542605 -1.02175 -0.995248 
600 -1.1374 1.66929 0.927566 
601 0.158683 -1.06392 0.513384 
602 -0.00016085 -0.417277 0.224227 
603 -1.8979 -0.191125 -0.815615 
604 -0.247466 -0.418884 -0.169196 
605 -1.23398 -0.597337 0.0930387 
606 -0.763786 -1.1913 1.15071 
607 0.803654 -0.519834 1.73918 
608 2.47308 1.36567 0.480267 
609 0.0270522 -1.37181 1.89312 
610 0.247952 1.85199 -0.766846 
611 -0.986145 0.188841 2.10891 
612 -0.478408 -0.812734 0.39561 
613 -0.635467 1.09982 0.226907 
614 -0.373306 2.34994 2.83382 
615 -0.780494 0.571772 -0.227615 
616 0.178388 0.276498 -1.0248 
617 -1.06462 -1.7898 -0.167053 
618 -0.137826 -1.88555 1.61192 
619 0.998952 1.55976 1.21398 
620 0.192864 -0.055632 -0.358093 
621 -0.790262 -1.93162 0.661946 
622 -0.406299 0.944943 -0.29407 
623 -0.891022 1.12713 0.680962 
624 -0.0726272 0.88111 -0.455771 
625 -0.622913 -0.518627 0.412575 
626 -0.747949 -0.316064 -0.591021 
627 0.711901 -0.705551 -0.263546 
